source_file,source_table,survey_year,metric,tenure,breakdown_var,breakdown_val,geography,stat_type,quality_measure,quality_value,quality_unit,reliability_flag,reliability_note
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_weekly_cost,all,lower_income_state,Total,Tasmania,lower_income,rse_pct,19.6,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_cost_income_ratio,all,lower_income_state,Total,Tasmania,lower_income,moe_95,3.6,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_or_less,all,lower_income_state,Total,Tasmania,lower_income,moe_95,4,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_to_30,all,lower_income_state,Total,Tasmania,lower_income,moe_95,2.8,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_30_to_50,all,lower_income_state,Total,Tasmania,lower_income,moe_95,3.8,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_over_50,all,lower_income_state,Total,Tasmania,lower_income,moe_95,2.4,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_total,all,lower_income_state,Total,Tasmania,lower_income,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_over_30,all,lower_income_state,Total,Tasmania,lower_income,moe_95,4.5,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,households_000,all,lower_income_state,Total,Tasmania,lower_income,rse_pct,3.3,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_weekly_cost,owner_outright,lower_income_state,Owner without a mortgage,NT (d),lower_income,rse_pct,20.4,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_cost_income_ratio,owner_outright,lower_income_state,Owner without a mortgage,NT (d),lower_income,moe_95,1.6,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_or_less,owner_outright,lower_income_state,Owner without a mortgage,NT (d),lower_income,moe_95,22.6,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_to_30,owner_outright,lower_income_state,Owner without a mortgage,NT (d),lower_income,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_30_to_50,owner_outright,lower_income_state,Owner without a mortgage,NT (d),lower_income,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_total,owner_outright,lower_income_state,Owner without a mortgage,NT (d),lower_income,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,households_000,owner_outright,lower_income_state,Owner without a mortgage,NT (d),lower_income,rse_pct,18.2,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_weekly_cost,owner_mortgage,lower_income_state,Owner with a mortgage,NT (d),lower_income,rse_pct,17,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_cost_income_ratio,owner_mortgage,lower_income_state,Owner with a mortgage,NT (d),lower_income,moe_95,10.9,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_or_less,owner_mortgage,lower_income_state,Owner with a mortgage,NT (d),lower_income,moe_95,26,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_to_30,owner_mortgage,lower_income_state,Owner with a mortgage,NT (d),lower_income,moe_95,13,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_30_to_50,owner_mortgage,lower_income_state,Owner with a mortgage,NT (d),lower_income,moe_95,18.6,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_total,owner_mortgage,lower_income_state,Owner with a mortgage,NT (d),lower_income,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_over_30,owner_mortgage,lower_income_state,Owner with a mortgage,NT (d),lower_income,moe_95,19.1,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,households_000,owner_mortgage,lower_income_state,Owner with a mortgage,NT (d),lower_income,rse_pct,17.5,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_weekly_cost,owner_total,lower_income_state,Total owners,NT (d),lower_income,rse_pct,49.4,per_cent,use_with_caution,Relative standard error is 25% to 50%; ABS advises users to interpret with caution.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_cost_income_ratio,owner_total,lower_income_state,Total owners,NT (d),lower_income,moe_95,7,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_or_less,owner_total,lower_income_state,Total owners,NT (d),lower_income,moe_95,18.1,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_30_to_50,owner_total,lower_income_state,Total owners,NT (d),lower_income,moe_95,12.7,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
